Wii Sports,Nintendo,33.10
Super Mario Bros.,Nintendo,16.10
Mario Kart Wii,Nintendo,14.33
Wii Sports Resort,Nintendo,13.20
Pokemon Red/Pokemon Blue,Nintendo,12.55
Tetris,Nintendo,12.10
New Super Mario Bros.,Nintendo,12.00
Wii Play,Nintendo,11.61
New Super Mario Bros. Wii,Nintendo,11.45
Duck Hunt,Nintendo,11.32
Nintendogs,Nintendo,9.90
Mario Kart DS,Nintendo,9.37
Pokemon Gold/Pokemon Silver,Nintendo,9.24
Wii Fit,Nintendo,9.09
Wii Fit Plus,Nintendo,8.80
Kinect Adventures!,Microsoft Game Studios,8.73
Grand Theft Auto V,Take-Two Interactive,8.56
Grand Theft Auto: San Andreas,Take-Two Interactive,8.32
Super Mario World,Nintendo,8.25
Brain Age: Train Your Brain in Minutes a Day,Nintendo,8.09
Pokemon Diamond/Pokemon Pearl,Nintendo,7.34
Super Mario Land,Nintendo,7.26
Super Mario Bros. 3,Nintendo,6.91
Grand Theft Auto V,Take-Two Interactive,6.55
Grand Theft Auto: Vice City,Take-Two Interactive,6.46
Pokemon Ruby/Pokemon Sapphire,Nintendo,6.34
Pokemon Black/Pokemon White,Nintendo,6.13
Brain Age 2: More Training in Minutes a Day,Nintendo,6.12
Gran Turismo 3: A-Spec,Sony Computer Entertainment,5.99
Call of Duty: Modern Warfare 3,Activision,5.90
Pokemon Yellow: Special Pikachu Edition,Nintendo,5.86
Call of Duty: Black Ops,Activision,5.86
Pokemon X/Pokemon Y,Nintendo,5.74
Call of Duty: Black Ops 3,Activision,5.70
Call of Duty: Black Ops II,Activision,5.61
Call of Duty: Black Ops II,Activision,5.49
Call of Duty: Modern Warfare 2,Activision,5.41
Call of Duty: Modern Warfare 3,Activision,5.39
Grand Theft Auto III,Take-Two Interactive,5.24
Super Smash Bros. Brawl,Nintendo,5.22
Call of Duty: Black Ops,Activision,5.09
Animal Crossing: Wild World,Nintendo,4.91
Mario Kart 7,Nintendo,4.88
Halo 3,Microsoft Game Studios,4.86
Grand Theft Auto V,Take-Two Interactive,4.79
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,4.76
Super Mario 64,Nintendo,4.76
Gran Turismo 4,Sony Computer Entertainment,4.66
Super Mario Galaxy,Nintendo,4.61
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,4.53
Super Mario Land 2: 6 Golden Coins,Nintendo,4.47
Grand Theft Auto IV,Take-Two Interactive,4.41
Gran Turismo,Sony Computer Entertainment,4.38
Super Mario 3D Land,Nintendo,4.32
Gran Turismo 5,Sony Computer Entertainment,4.31
Call of Duty: Modern Warfare 2,Activision,4.28
Grand Theft Auto IV,Take-Two Interactive,4.23
Super Mario All-Stars,Nintendo,4.22
Pokemon FireRed/Pokemon LeafGreen,Nintendo,4.20
Super Mario 64,Nintendo,4.17
Just Dance 3,Ubisoft,4.11
Call of Duty: Ghosts,Activision,4.08
Halo: Reach,Microsoft Game Studios,3.95
Mario Kart 64,Nintendo,3.95
New Super Mario Bros. 2,Nintendo,3.93
Halo 4,Microsoft Game Studios,3.90
Final Fantasy VII,Sony Computer Entertainment,3.89
Call of Duty: Ghosts,Activision,3.83
Just Dance 2,Ubisoft,3.81
Gran Turismo 2,Sony Computer Entertainment,3.80
Call of Duty 4: Modern Warfare,Activision,3.73
Donkey Kong Country,Nintendo,3.72
Minecraft,Microsoft Game Studios,3.68
Animal Crossing: New Leaf,Nintendo,3.64
Mario Party DS,Nintendo,3.61
The Elder Scrolls V: Skyrim,Bethesda Softworks,3.54
Super Mario Kart,Nintendo,3.51
FIFA 16,Electronic Arts,3.40
Wii Party,Nintendo,3.40
Halo 2,Microsoft Game Studios,3.39
Mario Party 8,Nintendo,3.37
Pokemon Black 2/Pokemon White 2,Nintendo,3.33
FIFA Soccer 13,Electronic Arts,3.30
The Sims 3,Electronic Arts,3.24
GoldenEye 007,Nintendo,3.24
Mario & Sonic at the Olympic Games,Sega,3.22
Final Fantasy X,Sony Computer Entertainment,3.22
Final Fantasy VIII,SquareSoft,3.14
Pokemon Platinum Version,Nintendo,3.14
Pac-Man,Atari,3.12
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,3.09
Super Mario Galaxy 2,Nintendo,3.08
Star Wars Battlefront (2015),Electronic Arts,3.07
Call of Duty: Advanced Warfare,Activision,3.04
The Legend of Zelda: Ocarina of Time,Nintendo,3.04
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,3.03
Super Mario Bros. 2,Nintendo,2.98
Super Smash Bros. for Wii U and 3DS,Nintendo,2.98
Call of Duty: World at War,Activision,2.95
Battlefield 3,Electronic Arts,2.94
